caseid;activity;timestamp
1000;Create Purchase Requisition Item;01/01/2016 08:35
1000;Create Purchase Order Item;03/01/2016 08:35
1000;Send Purchase Order;05/01/2016 08:35
1000;Dun Order Confirmation;07/01/2016 08:35
1000;Receive Order Confirmation;12/01/2016 08:35
1000;Receive Goods;20/01/2016 08:35
1000;Scan Invoice;26/01/2016 08:35
1000;Book Invoice;09/02/2016 08:35
10000;Create Purchase Requisition Item;26/01/2016 11:57
10000;Create Purchase Order Item;27/01/2016 11:57
10000;Send Purchase Order;29/01/2016 11:57
10000;Receive Goods;05/02/2016 11:57
10000;Scan Invoice;11/02/2016 11:57
10000;Book Invoice;26/02/2016 11:57
100000;Scan Invoice;13/10/2016 10:00
100000;Create Purchase Order Item;15/10/2016 10:00
100000;Send Purchase Order;17/10/2016 10:00
100000;Receive Goods;26/10/2016 10:00
100000;Book Invoice;06/11/2016 10:00
1000000;Create Purchase Requisition Item;30/03/2016 17:32
1000000;Create Purchase Order Item;01/04/2016 17:32
1000000;Send Purchase Order;03/04/2016 17:32
1000000;Receive Order Confirmation;06/04/2016 17:32
1000000;Receive Goods;13/04/2016 17:32
1000000;Scan Invoice;18/04/2016 17:32
1000000;Book Invoice;20/04/2016 17:32
1000001;Create Purchase Requisition Item;30/03/2016 17:32
1000001;Create Purchase Order Item;01/04/2016 17:32
1000001;Send Purchase Order;04/04/2016 17:32
1000001;Dun Order Confirmation;06/04/2016 17:32
1000001;Receive Order Confirmation;10/04/2016 17:32
1000001;Receive Goods;16/04/2016 17:32
1000001;Scan Invoice;23/04/2016 17:32
1000001;Book Invoice;26/04/2016 17:32
1000002;Create Purchase Requisition Item;30/03/2016 17:32
1000002;Create Purchase Order Item;01/04/2016 17:32
1000002;Send Purchase Order;02/04/2016 17:32
1000002;Dun Order Confirmation;06/04/2016 17:32
1000002;Receive Order Confirmation;09/04/2016 17:32
1000002;Receive Goods;18/04/2016 17:32
1000002;Book Invoice;23/04/2016 17:32
1000002;Scan Invoice;24/04/2016 17:32
1000003;Create Purchase Requisition Item;30/03/2016 17:32
1000003;Create Purchase Order Item;01/04/2016 17:32
1000003;Send Purchase Order;03/04/2016 17:32
1000003;Receive Goods;13/04/2016 17:32
1000003;Scan Invoice;21/04/2016 17:32
1000003;Set Payment Block;22/04/2016 17:32
1000003;Remove Payment Block;27/04/2016 17:32
1000003;Book Invoice;07/05/2016 17:32
1000004;Create Purchase Requisition Item;30/03/2016 17:32
1000004;Create Purchase Order Item;01/04/2016 17:32
1000004;Send Purchase Order;02/04/2016 17:32
1000004;Send Purchase Order Update;06/04/2016 17:32
1000004;Receive Goods;17/04/2016 17:32
1000004;Scan Invoice;20/04/2016 17:32
1000004;Book Invoice;09/05/2016 17:32
1000005;Create Purchase Requisition Item;29/03/2016 17:45
1000005;Create Purchase Order Item;01/04/2016 17:45
1000005;Send Purchase Order;02/04/2016 17:45
1000005;Change Currency;08/04/2016 17:45
1000005;Receive Goods;14/04/2016 17:45
1000005;Scan Invoice;18/04/2016 17:45
1000005;Book Invoice;03/05/2016 17:45
1000006;Create Purchase Requisition Item;30/03/2016 17:45
1000006;Create Purchase Order Item;01/04/2016 17:45
1000006;Send Purchase Order;03/04/2016 17:45
1000006;Delete Purchase Order Item;10/04/2016 17:45
1000007;Create Purchase Requisition Item;31/03/2016 17:50
1000007;Create Purchase Order Item;01/04/2016 17:50
1000007;Send Purchase Order;03/04/2016 17:50
1000007;Block Purchase Order Item;11/04/2016 17:50
1000008;Create Purchase Requisition Item;31/03/2016 07:08
1000008;Create Purchase Order Item;02/04/2016 07:08
1000008;Send Purchase Order;03/04/2016 07:08
1000008;Block Purchase Order Item;08/04/2016 07:08
1000008;Reactivate Purchase Order Item;11/04/2016 07:08
1000008;Receive Goods;15/04/2016 07:08
1000008;Scan Invoice;21/04/2016 07:08
1000008;Book Invoice;04/05/2016 07:08
1000009;Create Purchase Requisition Item;30/03/2016 07:14
1000009;Create Purchase Order Item;02/04/2016 07:14
1000009;Refuse Purchase Order Item;04/04/2016 07:14
100001;Scan Invoice;13/04/2016 10:00
100001;Create Purchase Order Item;15/04/2016 10:00
100001;Send Purchase Order;17/04/2016 10:00
100001;Receive Goods;27/04/2016 10:00
100001;Book Invoice;30/04/2016 10:00
1000010;Create Purchase Requisition Item;01/04/2016 07:21
1000010;Create Purchase Order Item;02/04/2016 07:21
1000010;Send Purchase Order;04/04/2016 07:21
1000010;Receive Goods;13/04/2016 07:21
1000010;Scan Invoice;17/04/2016 07:21
1000010;Book Invoice;06/05/2016 07:21
1000011;Create Purchase Requisition Item;31/03/2016 07:28
1000011;Create Purchase Order Item;02/04/2016 07:28
1000011;Send Purchase Order;04/04/2016 07:28
1000011;Receive Goods;10/04/2016 07:28
1000011;Scan Invoice;19/04/2016 07:28
1000011;Book Invoice;04/05/2016 07:28
1000012;Create Purchase Requisition Item;31/03/2016 07:28
1000012;Create Purchase Order Item;02/04/2016 07:28
1000012;Send Purchase Order;04/04/2016 07:28
1000012;Receive Goods;11/04/2016 07:28
1000012;Scan Invoice;16/04/2016 07:28
1000012;Book Invoice;27/04/2016 07:28
1000013;Create Purchase Requisition Item;31/03/2016 07:28
1000013;Create Purchase Order Item;02/04/2016 07:28
